scorer,,,mouce,mouce,mouce,mouce,mouce,mouce,mouce,mouce,mouce,mouce,mouce,mouce,mouce,mouce,mouce,mouce,mouce,mouce,mouce,mouce,mouce,mouce,mouce,mouce
bodyparts,,,nose,nose,eye,eye,ear,ear,neck,neck,back,back,root,root,tail,tail,point,point,front_leg,front_leg,front_foot,front_foot,after_leg,after_leg,after_foot,after_foot
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,11cfff5804f6a011a298f816d6f69e8c,img001.png,495.4937799668067,505.1614359323263,462.3889055405405,491.9194861618198,414.38683762245455,486.95375499787986,411.07635017982795,525.024360588086,305.1407520157761,473.71180522737336,225.68905339273732,564.7502098996055,126.37443011393871,589.5788657193051,154.51357337626496,642.546664801331,371.35050086830853,574.6816722274853,387.9029380814416,589.5788657193051,272.03587758950994,589.5788657193051,308.45123945840277,599.5103280471849
labeled-data,11cfff5804f6a011a298f816d6f69e8c,img013.png,505.4252422946866,516.7481419815194,469.00988042579377,498.540461047073,430.93927483558764,490.26424244050645,424.3182999503344,525.024360588086,315.072214343656,475.3670489486867,232.3100282779905,563.0949661782921,146.2373547696984,579.6474033914252,157.8240608188916,644.2019085226443,381.28196319618837,569.7159410635454,399.48964413063476,591.2341094406183,281.96733991738984,589.5788657193051,318.3827017862826,596.1998406045583
labeled-data,11cfff5804f6a011a298f816d6f69e8c,img026.png,548.4615790488325,511.7824108175795,512.0462171799397,491.9194861618198,475.630855311047,483.64326755525326,475.63085531104696,523.3691168667727,368.0400134256819,478.6775363913133,313.4169706223427,556.4739912930389,217.41283478617072,584.6131345553651,131.34016127787868,632.6152024734511,452.45744321266073,573.026428506172,473.9756115897337,591.2341094406183,313.41697062234266,581.3026471127386,331.6246515567891,597.8550843258716
labeled-data,11cfff5804f6a011a298f816d6f69e8c,img035.png,515.3567046225663,515.0928982602061,482.25183335342706,498.5404610470729,449.1469589271609,485.2985112765664,455.7679338124142,523.3691168667725,366.38477286149543,462.1250991781801,306.79599889421627,569.7159410635452,207.48137561541776,586.2683782766783,151.20308909076522,642.5466648013307,460.73366497635413,576.3369159487984,487.217564517367,594.5445968832448,354.7980668123023,591.2341094406182,391.2134255240682,599.5103280471849
labeled-data,11cfff5804f6a011a298f816d6f69e8c,img042.png,520.3224389436332,526.6796043093991,492.18329568130696,503.50619221101283,449.1469589271609,483.64326755525303,452.4574463697876,523.3691168667725,373.00574774674874,467.09083034211994,311.7617300581562,573.0264285061718,212.44710677935765,591.2341094406182,156.16882025470517,635.9256899160775,455.7679338124142,576.3369159487984,493.8385394026203,592.8893531619315,359.76379797624224,591.2341094406182,389.5581849598818,596.1998406045582
labeled-data,11cfff5804f6a011a298f816d6f69e8c,img055.png,536.8748761567663,544.8872852438456,502.11475800918686,515.092898260206,467.3546398616073,496.8852173257595,475.63085846817387,539.9215540799056,394.5239161238218,468.7460740634333,333.27989843522926,569.7159410635452,235.620518877744,586.2683782766783,164.4450388612717,639.2361773587041,475.63085846817387,584.6131345553649,502.11475800918686,591.2341094406182,374.660991468062,591.2341094406182,402.8001347303883,596.1998406045582
labeled-data,11cfff5804f6a011a298f816d6f69e8c,img074.png,555.0825570912127,528.3348480307125,521.9776826649465,513.4376545388926,478.94134591080046,496.8852173257595,492.18329568130696,536.611066637279,411.07635333695487,473.71180522737325,338.2456295991692,573.0264285061718,232.3100314351174,591.2341094406182,177.68698863177818,645.8571522439574,483.9070770747404,584.6131345553649,510.3909766157534,594.5445968832448,382.9372100746285,594.5445968832448,409.4211096156415,601.165571768498
labeled-data,11cfff5804f6a011a298f816d6f69e8c,img089.png,556.7378008125261,543.2320415225322,523.6329263862599,516.7481419815193,483.9070770747404,500.19570476838624,495.49378312393355,538.2663103585922,407.76586589432816,478.6775363913132,346.52184820573575,573.0264285061718,243.89673748431053,589.5788657193049,177.68698863177818,650.8228834078973,482.25183335342706,589.5788657193049,520.3224389436332,599.5103280471848,389.5581849598818,597.8550843258714,419.3525719435214,606.131302932438
